Wavelength (nm),Sensitivity multiplier
198.6711567,0
198.6781669,0
198.6851762,0
198.6921855,0
198.6991938,0
198.7062031,0
198.7132104,0
198.7202187,0
198.727226,0
198.7342323,0
198.7412396,0
198.7482459,0
198.7552512,0
198.7622565,0
198.7692618,0
198.7762671,0
198.7832714,0
198.7902757,0
198.797279,0
198.8042823,0
198.8112856,0
198.8182879,0
198.8252902,0
198.8322925,0
198.8392937,0
198.846295,0
198.8532963,0
198.8602966,0
198.8672969,0
198.8742962,0
198.8812955,0
198.8882948,0
198.8952931,0
198.9022914,0
198.9092897,0
198.9162869,0
198.9232842,0
198.9302815,0
198.9372778,0
198.9442741,0
198.9512694,0
198.9582647,0
198.96526,0
198.9722543,0
198.9792495,0
198.9862428,0
198.9932361,0
199.0002294,0
199.0072227,0
199.014215,0
199.0212073,0
199.0281995,0
199.0351908,0
199.0421821,0
199.0491724,0
199.0561627,0
199.063153,0
199.0701422,0
199.0771315,0
199.0841208,0
199.0911091,0
199.0980974,0
199.1050847,0
199.1120719,0
199.1190592,0
199.1260465,0
199.1330328,0
199.1400181,0
199.1470044,0
199.1539896,0
199.1609739,0
199.1679592,0
199.1749425,0
199.1819268,0
199.18891,0
199.1958933,0
199.2028756,0
199.2098589,0
199.2168401,0
199.2238224,0
199.2308037,0
199.237784,0
199.2447653,0
199.2517445,0
199.2587248,0
199.2657041,0
199.2726834,0
199.2796616,0
199.2866409,0
199.2936182,0
199.3005965,0
199.3075737,0
199.31455,0
199.3215273,0
199.3285026,0
199.3354788,0
199.3424541,0
199.3494294,0
199.3564037,0
199.3633789,0
199.3703522,0
199.3773265,0
199.3842997,0
199.391272,0
199.3982453,0
199.4052176,0
199.4121888,0
199.4191601,0
199.4261314,0
199.4331026,0
199.4400729,0
199.4470422,0
199.4540125,0
199.4609817,0
199.467951,0
199.4749193,0
199.4818875,0
199.4888548,0
199.4958221,0
199.5027893,0
199.5097566,0
199.5167229,0
199.5236891,0
199.5306544,0
199.5376197,0
199.5445849,0
199.5515492,0
199.5585135,0
199.5654767,0
199.572441,0
199.5794033,0
199.5863665,0
199.5933288,0
199.600291,0
199.6072523,0
199.6142136,0
199.6211748,0
199.6281351,0
199.6350954,0
199.6420546,0
199.6490149,0
199.6559731,0
199.6629324,0
199.6698907,0
199.6768489,0
199.6838062,0
199.6907635,0
199.6977207,0
199.704677,0
199.7116332,0
199.7185885,0
199.7255448,0
199.732499,0
199.7394543,0
199.7464085,0
199.7533628,0
199.760316,0
199.7672693,0
199.7742226,0
199.7811748,0
199.7881271,0
199.7950783,0
199.8020306,0
199.8089808,0
199.8159321,0
199.8228824,0
199.8298326,0
199.8367819,0
199.8437311,0
199.8506794,0
199.8576286,0
199.8645769,0
199.8715241,0
199.8784714,0
199.8854186,0
199.8923649,0
199.8993111,0
199.9062574,0.00002
199.9132026,0.00002
199.9201479,0.00002
199.9270932,0.00002
199.9340374,0.00002
199.9409817,0.00002
199.9479259,0.00002
199.9548692,0.00002
199.9618124,0.00002
199.9687547,0.00002
199.9756969,0.00002
199.9826392,0.00002
199.9895804,0.00002
199.9965217,0.00002
200.0034619,0.00002
200.0104031,0.00002
200.0173424,0.00002
200.0242826,0.00002
200.0312219,0.00002
200.0381611,0.00002
200.0450994,0.00002
200.0520376,0.00002
200.0589759,0.00002
200.0659131,0.00002
200.0728504,0.00002
200.0797866,0.00002
200.0867239,0.00002
200.0936591,0.00002
200.1005954,0.00002
200.1075306,0.00002
200.1144658,0.00002
200.1214001,0.00002
200.1283343,0.00002
200.1352686,0.00002
200.1422018,0.00002
200.1491351,0.00002
200.1560673,0.00002
200.1629995,0.00002
200.1699318,0.00002
200.176864,0.00002
200.1837953,0.00002
200.1907255,0.00002
200.1976568,0.00002
200.204587,0.00002
200.2115162,0.00002
200.2184455,0.00002
200.2253747,0.00002
200.232304,0.00002
200.2392322,0.00002
200.2461604,0.00002
200.2530877,0.00002
200.2600149,0.00002
200.2669422,0.00002
200.2738684,0.00002
200.2807946,0.00002
200.2877199,0.00002
200.2946461,0.00002
200.3015703,0.00002
200.3084956,0.00002
200.3154198,0.00002
200.3223441,0.00002
200.3292673,0.00002
200.3361905,0.00002
200.3431128,0.00002
200.350036,0.00002
200.3569582,0.00002
200.3638795,0.00002
200.3708007,0.00002
200.3777219,0.00002
200.3846422,0.00002
200.3915624,0.00002
200.3984826,0.00002
200.4054019,0.00002
200.4123211,0.00002
200.4192403,0.00002
200.4261586,0.00002
200.4330768,0.00002
200.439994,0.00002
200.4469123,0.00002
200.4538285,0.00002
200.4607457,0.00002
200.467662,0.00002
200.4745772,0.00002
200.4814934,0.00002
200.4884076,0.00002
200.4953229,0.00002
200.5022371,0.00002
200.5091513,0.00002
200.5160646,0.00002
200.5229778,0.00002
200.529891,0.00002
200.5368033,0.00002
200.5437155,0.00002
200.5506277,0.00002
200.5575389,0.00002
200.5644502,0.00002
200.5713604,0.00002
200.5782716,0.00002
200.5851808,0.00002
200.5920911,0.00002
200.5990003,0.00002
200.6059085,0.00002
200.6128177,0.00002
200.619725,0.00002
200.6266332,0.00002
200.6335404,0.00002
200.6404476,0.00002
200.6473539,0.00002
200.6542601,0.00002
200.6611663,0.00002
200.6680715,0.00002
200.6749768,0.00002
200.681882,0.00002
200.6887862,0.00002
200.6956904,0.00002
200.7025937,0.00002
200.7094979,0.00002
200.7164001,0.00002
200.7233033,0.00002
200.7302055,0.00002
200.7371068,0.00002
200.744009,0.00002
200.7509092,0.00002
200.7578104,0.00002
200.7647106,0.00002
200.7716109,0.00002
200.7785101,0.00002
200.7854093,0.00002
200.7923085,0.00002
