Point0_x,Point0_y,Point1_x,Point1_y,Point2_x,Point2_y
35,3.139039705,512,-2.150044852,989,2.140072093
35,7.397775227,512,2.021645623,989,6.302540467
35,11.74379494,512,6.27402012,989,10.53595966
35,16.17709885,512,10.60707864,989,14.84032968
35,20.69768694,512,15.02082118,989,19.21565052
35,25.30555923,512,19.51524774,989,23.66192217
35,30.00071572,512,24.09035832,989,28.17914465
35,34.78315639,512,28.74615293,989,32.76731795
35,39.65288126,512,33.48263155,989,37.42644207
35,44.60989031,512,38.2997942,989,42.15651701
35,49.65418356,512,43.19764087,989,46.95754277
35,54.78576101,512,48.17617156,989,51.82951935
35,60.00462264,512,53.23538627,989,56.77244676
35,65.31076847,512,58.37528501,989,61.78632497
35,70.70419848,512,63.59586777,989,66.87115402
35,76.1849127,512,68.89713454,989,72.02693388
35,81.75291111,512,74.27908534,989,77.25366456
35,87.4081937,512,79.74172016,989,82.55134607
35,93.15076049,512,85.28503901,989,87.91997839
35,98.98061147,512,90.90904187,989,93.35956153
35,104.8555891,512,96.48483188,989,98.82467742
35,110.8649426,512,102.3256975,989,104.4545518
35,117.0041311,512,108.2837219,989,110.1984883
35,123.2731547,512,114.3589053,989,116.0564869
35,129.6720132,512,120.5512476,989,122.0285476
35,136.2007067,512,126.8607488,989,128.1146704
35,142.8592352,512,133.287409,989,134.3148552
35,149.6475987,512,139.831228,989,140.6291023
35,156.5657973,512,146.4922059,989,147.0574114
35,163.6138307,512,153.2703427,989,153.5997826
35,170.7916993,512,160.1656384,989,160.256216
35,178.0994028,512,167.1780931,989,167.0267114
35,185.5369413,512,174.3077066,989,173.9112689
35,193.1043148,512,181.5544791,989,180.9098885
35,200.8015233,512,188.9184104,989,188.0225703
35,208.6285668,512,196.3995007,989,195.2493141
35,216.5854453,512,203.9977499,989,202.5901201
35,224.6721588,512,211.7131579,989,210.044988
35,233.9535099,512,219.7219307,989,217.7322328
35,241.8534458,512,227.6676673,989,225.3937591
35,249.9677448,512,235.7894465,989,233.219637
35,258.296407,512,244.0872685,989,241.2098666
35,267.2029477,512,252.9003336,989,249.6545642
35,276.1026055,512,261.685391,989,257.6976142
35,285.6042841,512,270.3885313,989,266.3538536
35,294.6961181,512,279.5944399,989,275.0570071
35,304.2468512,512,288.597165,989,283.6305751
35,313.0332289,512,297.980366,989,292.765076
35,323.7673619,512,307.7565434,989,301.7550254
35,333.7924936,512,317.1415879,989,311.2543685
35,344.0180592,512,326.9067567,989,320.5150813
35,354.3555488,512,337.0153037,989,330.1522906
35,364.6051237,512,347.1684927,989,339.9515908
35,375.3145589,512,357.492045,989,350.0860611
35,386.3941791,512,367.8773734,989,359.4835316
35,397.6318271,512,378.9713297,989,370.3370996
35,410.0661878,512,389.6797226,989,380.5898105
35,420.7083951,512,400.7942278,989,391.4053537
35,432.6812314,512,412.0847758,989,402.18956
35,443.737214,512,423.5513664,989,413.1498525
35,456.3979458,512,435.1939997,989,424.2600736
35,468.5814017,512,447.0126758,989,435.5418209
35,481.48275,512,459.0073945,989,446.9826964
35,494.3786431,512,471.2671782,989,458.2469887
35,509.0198758,512,483.5249601,989,470.3461813
35,522.5059219,512,496.4215857,989,482.5394657
35,536.2294668,512,509.9392031,989,494.4283385
35,550.1416577,512,523.0622775,989,506.701795
35,564.2909691,512,536.9212839,989,519.1623604
35,578.5304002,512,547.8996214,989,531.6630341
35,593.0755946,512,561.3026817,989,544.4194594
35,607.8351523,512,574.8817848,989,557.3402362
35,622.8090731,512,588.6369306,989,570.4253647
35,637.997357,512,602.568119,989,583.6748447
35,653.4000042,512,616.6753502,989,597.0886763
35,669.0170145,512,630.9586241,989,610.6668595
35,684.848388,512,645.4179407,989,624.4093943
35,700.8941247,512,660.0533,989,638.3162807
35,717.1542246,512,674.8647019,989,652.3875186
35,733.6286875,512,689.8521466,989,666.6231081
35,750.3175138,512,705.015634,989,681.0230492
35,767.2207032,512,720.3551641,989,695.5873418
35,784.3382558,512,735.8707369,989,710.315986
35,801.6701715,512,751.5623524,989,725.2089819
35,819.2164504,512,767.4300106,989,740.2663292
35,836.9770925,512,783.4737115,989,755.4880282
35,854.9520978,512,799.6934551,989,770.8740788
35,873.1414663,512,816.0892414,989,786.4244808
35,891.545198,512,832.6610705,989,802.1392345
35,910.1632928,512,849.4089422,989,818.0183399
35,928.9957508,512,866.3328566,989,834.0617968
35,948.042572,512,883.4328137,989,850.2696052
35,967.3037564,512,900.7088135,989,866.6417652
35,986.7793039,512,918.1608561,989,883.1782768
35,1006.469215,512,935.7889413,989,899.87914
35,1026.373488,512,953.5930692,989,916.7443548
35,1046.492125,512,971.5732399,989,933.7739211
