Order nr,Start px,End px,Start wavelength,End wavelength
36,14,852,724.2975,745.1654
37,11,824,704.6424,724.356
38,13,799,686.1433,704.7114
39,21,779,668.7345,686.1872
40,213,768,656.3893,668.7874
41,60,954,636.9791,656.4433
42,70,772,622.0286,637.0194
43,101,766,608.2193,622.0803
44,102,782,594.4152,608.2602
45,147,767,582.1156,594.4485
46,109,800,568.7068,582.1548
47,114,745,556.702,568.7377
48,141,737,545.6149,556.7406
49,161,752,534.8497,545.6466
50,166,760,524.2419,534.8729
51,183,753,514.2637,524.2626
52,192,760,504.5293,514.2974
53,213,758,495.3675,504.5585
54,225,769,486.3934,495.3922
55,185,771,476.8877,486.415
56,201,719,468.629,476.9087
57,212,726,460.5802,468.648
58,197,728,452.402,460.5959
59,204,704,444.8393,452.4278
60,219,702,437.6495,444.8553
61,221,710,430.5019,437.6759
62,235,703,423.7603,430.5142
63,223,710,416.8584,423.7761
64,224,690,410.3563,416.8757
65,232,684,404.1517,410.3778
66,240,685,398.135,404.1704
67,246,686,392.2708,398.1483
68,245,686,386.4857,392.2901
69,241,678,380.8288,386.4992
70,247,668,375.4628,380.8483
71,259,668,370.3245,375.4811
72,259,674,365.1778,370.3366
73,261,668,360.1969,365.1876
74,261,665,355.3261,360.2135
75,272,659,350.7178,355.3366
76,274,665,346.1236,350.7277
77,279,662,341.6838,346.1351
78,281,662,337.3231,341.6941
79,292,659,333.1757,337.3319
80,287,666,328.9511,333.1894
81,293,656,324.9535,328.9633
82,309,657,321.1635,324.959
83,302,669,317.2145,321.1685
84,302,658,313.4347,317.2258
85,311,653,309.8395,313.4382
86,310,659,306.2228,309.852
87,323,653,302.8344,306.226
88,316,663,299.3179,302.8435
89,324,652,296.0325,299.3279
90,333,656,292.8301,296.038
91,332,662,289.5988,292.8399
92,328,657,286.4084,289.6054
93,332,649,283.3642,286.4117
94,332,650,280.3463,283.3709
95,348,647,277.5437,280.3567
96,350,660,274.668,277.553
97,346,658,271.7959,274.67
98,350,651,269.0559,271.8007
99,349,652,266.3257,269.0608
100,353,648,263.6952,266.3315
101,351,649,261.0632,263.7
102,354,644,258.527,261.068
103,359,644,256.0574,258.5301
104,360,646,253.6007,256.058
105,364,645,251.2165,253.6077
106,370,646,248.8943,251.2203
107,375,650,246.607,248.9023
108,369,652,244.2703,246.6109
109,370,643,242.0344,244.272
110,368,642,239.8145,242.0401
111,373,637,237.6914,239.8165
112,382,640,235.6383,237.6959
113,388,647,233.5976,235.6441
114,387,650,231.5374,233.5973
115,387,647,229.5209,231.5398
116,392,645,227.578,229.5254
117,398,648,225.6759,227.5833
118,392,652,223.7146,225.6816
119,407,643,221.9448,223.715
120,399,657,220.0323,221.9511
121,399,646,218.2108,220.0331
122,407,644,216.4781,218.212
123,402,650,214.6786,216.4782
124,404,643,212.9588,214.6794
125,407,643,211.2738,212.959
126,410,644,209.6154,211.2729
127,418,646,208.0185,209.6204
128,403,652,206.2852,208.0214
129,430,635,204.8711,206.289
130,471,661,203.5749,204.8766
131,0,701,198.7581,203.58
